legacyId,name,description,mainImage,published,finishLegacyId,finishName,finishImage,price,costPrice,sourceVendor,sourceSku,sourceUrl,sourceProductId,sourcePriceRsd,inStock
europrofil-o04a0006354,ORN N ruč.230/240mm AL CRNA,Europrofil art. O04A0006354,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6354.webp,true,crna,Crna,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6354.webp,825,0,europrofil,O04A0006354,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D230240mm-al-crna-6354,19908,824.85,true
europrofil-o04a0006355,ORN N ruč.230/340mm AL SM,Europrofil art. O04A0006355,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6355.webp,true,sm,SM,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6355.webp,988,0,europrofil,O04A0006355,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D230340mm-al-sm-6355,19909,988.14,true
europrofil-o04a0006356,ORN N ruč.230/340mm AL SB,Europrofil art. O04A0006356,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6356.webp,true,sb,SB,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6356.webp,1083,0,europrofil,O04A0006356,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D230340mm-al-sb-6356,19910,1083.13,true
europrofil-o04a0006357,ORN N ruč.230/340mm AL CRNA,Europrofil art. O04A0006357,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6357.webp,true,crna,Crna,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6357.webp,1000,0,europrofil,O04A0006357,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D230340mm-al-crna-6357,19911,999.81,true
europrofil-o04a0006370,ORN N 224 ruč.K174 crna MT,Europrofil art. O04A0006370,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6370.webp,true,crna,Crna,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6370.webp,317,0,europrofil,O04A0006370,https://www.europrofil.rs/proizvod/orn-n-224-ru%C4%8Dk174-crna-mt-6370,19931,316.80,true
europrofil-o04a0006369,ORN N 224 ruč.K174 bela MT,Europrofil art. O04A0006369,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6369.webp,true,bela,Bela,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6369.webp,317,0,europrofil,O04A0006369,https://www.europrofil.rs/proizvod/orn-n-224-ru%C4%8Dk174-bela-mt-6369,19932,316.80,true
europrofil-o04a0006367,ORN N 160 ruč.K174 bela MT,Europrofil art. O04A0006367,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6367.webp,true,bela,Bela,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6367.webp,232,0,europrofil,O04A0006367,https://www.europrofil.rs/proizvod/orn-n-160-ru%C4%8Dk174-bela-mt-6367,19933,231.84,true
europrofil-o04a0006368,ORN N 160 ruč.K174 crna MT,Europrofil art. O04A0006368,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6368.webp,true,crna,Crna,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6368.webp,232,0,europrofil,O04A0006368,https://www.europrofil.rs/proizvod/orn-n-160-ru%C4%8Dk174-crna-mt-6368,19934,232.00,true
europrofil-o04a0006456,ORN N 96 ruč.UZ-E82/760niklHS,Europrofil art. O04A0006456,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6456.webp,true,standard,Standard,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6456.webp,156,0,europrofil,O04A0006456,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8Duz-e82760niklhs-6456,19940,156.00,false
europrofil-o04a0006457,ORN N 128 ruč.UZ-E82/760niklHS,Europrofil art. O04A0006457,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6457.webp,true,standard,Standard,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6457.webp,198,0,europrofil,O04A0006457,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8Duz-e82760niklhs-6457,19941,198.00,false
